"CODUSU","NRO_HOGAR","REALIZADA","ANO4","TRIMESTRE","AGLOMERADO","POND_TIC","IH_II_01","IH_II_02"
"TQRMNOPVTHMMLUCDEFIAH00487691",1,1,2016,4,2,616,1,1
"TQRMNOPVVHJKLMCDEFIAH00498095",1,1,2016,4,2,937,1,1
"TQRMNOPVXHJKLMCDEFIAH00498106",1,1,2016,4,2,937,1,1
"TQRMNOPWQHJOLNCDEFIAH00498116",1,1,2016,4,2,791,1,1
"TQRMNOPWVHJLLLCDEFIAH00498012",1,1,2016,4,2,928,1,1
"TQRMNOPWVHMNKMCDEFIAH00498100",1,1,2016,4,2,770,1,1
"TQRMNOPWWHJLLLCDEFIAH00498008",1,1,2016,4,2,928,1,1
"TQRMNOPWWHMNKMCDEFIAH00487819",1,1,2016,4,2,770,1,1
"TQRMNOPWXHMNKMCDEFIAH00487826",1,1,2016,4,2,770,2,2
"TQRMNOPWYHMNKMCDEFIAH00487809",1,1,2016,4,2,770,1,1
"TQRMNOPXPHMNKMCDEFIAH00498061",1,1,2016,4,2,770,1,1
"TQRMNOPXQHJLKUCDEFIAH00498073",1,1,2016,4,2,806,1,1
"TQRMNOPXQHJMLOCDEFIAH00498150",1,1,2016,4,2,558,1,1
"TQRMNOPXQHJMLSCDEFIAH00497927",1,1,2016,4,2,495,1,1
"TQRMNOPXQHKNLPCDEFIAH00487735",1,1,2016,4,2,545,2,1
"TQRMNOPXQHKOMLCDEFIAH00487841",1,1,2016,4,2,821,1,1
"TQRMNOPXQHLMKQCDEFIAH00498109",1,1,2016,4,2,584,1,1
"TQRMNOPXRHJLKUCDEFIAH00498063",1,1,2016,4,2,806,1,1
"TQRMNOPXRHJMLOCDEFIAH00498152",1,1,2016,4,2,558,1,1
"TQRMNOPXRHKNLPCDEFIAH00487742",1,1,2016,4,2,545,1,1
"TQRMNOPXSHJLKUCDEFIAH00498037",1,1,2016,4,2,806,1,1
"TQRMNOPXSHKNLPCDEFIAH00487719",2,1,2016,4,2,545,1,1
"TQRMNOPXSHKOMLCDEFIAH00498121",1,1,2016,4,2,821,1,1
"TQRMNOPXSHLMKQCDEFIAH00498085",1,1,2016,4,2,584,1,1
"TQRMNOPXTHJMLSCDEFIAH00497968",1,1,2016,4,2,495,1,1
"TQRMNOPXTHKNLPCDEFIAH00487791",1,1,2016,4,2,545,2,2
"TQRMNOPXTHKOMLCDEFIAH00487857",1,1,2016,4,2,821,1,1
"TQRMNOPXUHJMLOCDEFIAH00498142",1,1,2016,4,2,558,1,1
"TQRMNOPXUHLMKQCDEFIAH00498133",1,1,2016,4,2,584,1,1
"TQRMNOPXVHMMLOCDEFIAH00487676",1,1,2016,4,2,543,1,1
"TQRMNOPXWHMMLOCDEFIAH00487677",1,1,2016,4,2,543,1,1
"TQRMNOPXXHLKKSCDEFIAH00498094",1,1,2016,4,2,1003,1,1
"TQRMNOPXYHLKKSCDEFIAH00498135",1,1,2016,4,2,1003,1,1
"TQRMNOPYQHKMLLCDEFIAH00498051",1,1,2016,4,2,570,1,1
"TQRMNOPYSHKMLLCDEFIAH00487708",1,1,2016,4,2,570,1,1
"TQRMNOPYTHKMLLCDEFIAH00487738",1,1,2016,4,2,570,1,1
"TQRMNOPYUHKMLLCDEFIAH00498059",1,1,2016,4,2,570,1,1
"TQRMNOPYVHJMLPCDEFIAH00498038",1,1,2016,4,2,565,1,1
"TQRMNOPYVHJMMLCDEFIAH00498047",1,1,2016,4,2,555,1,1
"TQRMNOPYVHKKKQCDEFIAH00497915",1,1,2016,4,2,910,1,1
"TQRMNOPYVHKMKOCDEFIAH00487731",1,1,2016,4,2,565,2,2
"TQRMNOPYVHMMLNCDEFIAH00487802",1,1,2016,4,2,532,2,2
"TQRMNOPYWHJMLPCDEFIAH00497993",1,1,2016,4,2,565,1,1
"TQRMNOPYWHJMMLCDEFIAH00498035",1,1,2016,4,2,555,1,1
"TQRMNOPYWHJOLTCDEFIAH00497988",1,1,2016,4,2,630,1,1
