CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPQRHMOLTCDEFIAH00640474";1;2;2019;4;2;852;1;2;2;2
"TQRMNOPQRHMOLTCDEFIAH00640474";1;3;2019;4;2;852;1;1;2;1
"TQRMNOPQSHJKLMCDEFIAH00623028";1;1;2019;4;2;1424;1;1;2;1
"TQRMNOPQSHJKLMCDEFIAH00623028";1;2;2019;4;2;1424;1;1;2;1
"TQRMNOPQSHLLKTCDEFIAH00646729";1;1;2019;4;2;887;1;1;1;1
"TQRMNOPQSHLLKTCDEFIAH00646729";1;2;2019;4;2;887;1;1;1;1
"TQRMNOPQSHMOLTCDEFIAH00640549";1;1;2019;4;2;852;1;1;2;1
"TQRMNOPQSHMOLTCDEFIAH00640549";1;2;2019;4;2;852;1;2;2;2
"TQRMNOPQSHMOLTCDEFIAH00640549";1;3;2019;4;2;852;1;2;2;2
"TQRMNOPQSHMOLTCDEFIAH00640549";1;4;2019;4;2;852;1;1;2;1
"TQRMNOPQTHJKLMCDEFIAH00622877";1;1;2019;4;2;1424;1;1;1;1
"TQRMNOPQTHJKLMCDEFIAH00622877";1;2;2019;4;2;1424;1;1;1;1
"TQRMNOPQTHLLKTCDEFIAH00646692";1;1;2019;4;2;887;1;1;1;1
"TQRMNOPQTHLLKTCDEFIAH00646692";1;2;2019;4;2;887;1;1;1;1
"TQRMNOPQUHLLKTCDEFIAH00646643";1;1;2019;4;2;887;1;2;2;1
"TQRMNOPQVHJKKSCDEFIAH00646744";1;1;2019;4;2;1487;1;1;1;1
"TQRMNOPQVHLMLOCDEFIAH00646742";1;1;2019;4;2;548;1;1;2;1
"TQRMNOPQVHMOKNCDEFIAH00640447";1;1;2019;4;2;651;1;1;2;1
"TQRMNOPQVHMOKNCDEFIAH00640447";1;2;2019;4;2;651;1;1;2;1
"TQRMNOPQVHMOKNCDEFIAH00640447";1;3;2019;4;2;651;1;1;2;2
"TQRMNOPQVHMOKNCDEFIAH00640447";1;4;2019;4;2;651;1;1;2;2
"TQRMNOPQWHKLKSCDEFIAH00640476";1;1;2019;4;2;1025;1;1;1;1
"TQRMNOPQWHKOLTCDEFIAH00617350";1;1;2019;4;2;401;2;2;2;2
"TQRMNOPQWHKOLTCDEFIAH00617350";1;2;2019;4;2;401;2;2;2;2
"TQRMNOPQWHKOLTCDEFIAH00617350";1;3;2019;4;2;401;2;1;2;1
"TQRMNOPQWHLMLOCDEFIAH00646758";1;1;2019;4;2;548;1;1;2;1
"TQRMNOPQWHLMLOCDEFIAH00646758";1;2;2019;4;2;548;1;1;2;1
"TQRMNOPQWHLMLOCDEFIAH00646758";1;3;2019;4;2;548;1;1;2;1
"TQRMNOPQWHLOKMCDEFIAH00646620";1;1;2019;4;2;646;1;2;2;2
